success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,topo_rho_floor
False,17.95,0.9849246527275428,0.2972051208018657,True,91.90854914940613,704.3847584724891,0.029130253849354974,72.10218150902172,0.06908651133899225,0.6256273939082448,0.006524291785459109,0.006524291785459109,123.96456547439406,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.174372606091755,False,False,23.900000000000002,23.700000000000003,23.900000000000002,20.6,40.0,22.1,0,72.33185605082858,2.1775214213513787,1.0,s4_narrow_passage_medium,M7,20,0.6
False,18.1,0.933730688722797,0.3274693453999335,True,92.42178119357845,700.1567834847157,0.0299625468164794,72.07959064916518,0.06910115155388237,0.6256161149003406,0.006222243864651282,0.006222243864651282,124.40546099789677,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.174383885099659,False,False,23.700000000000003,23.700000000000003,23.700000000000003,20.75,40.0,21.950000000000003,0,72.43514143572375,2.1775203475160065,1.0,s4_narrow_passage_medium,M7,21,0.6
False,17.75,0.9158939290727479,0.29760476037315825,True,92.21302411892512,695.0283222246098,0.027049521431543905,72.03216283856707,0.07670634112045527,0.6193037650095771,0.0001408903269594982,0.0001408903269594982,123.92873127296549,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.180696234990423,False,False,23.75,23.650000000000002,23.75,20.400000000000002,40.0,22.3,0,72.3187604639169,2.177534242711165,1.0,s4_narrow_passage_medium,M7,22,0.6
False,17.35,0.8504965407637923,0.29671145418367634,True,92.6070235375995,695.6816453548911,0.04265501456512692,72.13247269688682,0.06911533951658569,0.6256007381629507,0.006470693918333767,0.006470693918333767,123.45687004169598,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.174399261837049,False,False,23.3,23.3,23.3,20.05,40.0,22.700000000000003,0,72.27111709893366,2.1775220256920904,1.0,s4_narrow_passage_medium,M7,23,0.6
False,17.75,0.8329906581833149,0.3002292529036644,True,92.48173445491008,725.2048297997228,0.03245942571785269,72.0505498257977,0.07666173042566819,0.6193397282210021,9.684533646957499e-05,9.684533646957499e-05,124.09372327268152,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1806602717789976,False,False,23.75,23.700000000000003,23.75,20.450000000000003,40.0,22.3,0,72.29156322067026,2.1775331784979612,1.0,s4_narrow_passage_medium,M7,24,0.6
False,17.95,0.8269609962943278,0.2961512256774458,True,91.87811913562234,681.3590160788606,0.028922180607573865,72.02543453972493,0.07669934031675772,0.6193094243289153,8.279938278643416e-05,8.279938278643416e-05,123.75939132839956,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1806905756710844,False,False,24.5,24.0,24.5,20.6,40.0,22.1,0,72.35767519207418,2.17752894026108,1.0,s4_narrow_passage_medium,M7,25,0.6
False,17.95,0.945195455271935,0.2969506267877655,True,91.91324063806013,735.7606230781495,0.03266749895963379,72.03888442206043,0.07669109519361632,0.6193161713978949,0.00013564825251280162,0.00013564825251280162,123.90082633321883,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.180683828602105,False,False,24.25,23.85,24.25,20.6,40.0,22.1,0,72.34205611552646,2.1775355359482034,1.0,s4_narrow_passage_medium,M7,26,0.6
False,17.7,0.9963781886994989,0.2976037413720122,True,91.91909233428332,713.161398664437,0.023304203079483977,72.03272835934733,0.06908245223109787,0.625633917767323,0.006192486100352481,0.006192486100352481,123.56231355721886,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1743660822326767,False,False,23.700000000000003,23.6,23.700000000000003,20.400000000000002,40.0,22.35,0,72.30259448303701,2.1775209074296202,1.0,s4_narrow_passage_medium,M7,27,0.6
False,17.95,0.9808764403829369,0.297154238876613,True,91.9353124201632,711.7441853744483,0.027881814398668332,71.9999335738478,0.06905947933783645,0.6256550617315125,0.006202839838834864,0.006202839838834864,123.82728833870641,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1743449382684874,False,False,23.900000000000002,23.700000000000003,23.900000000000002,20.6,40.0,22.1,0,72.33841858378334,2.177521382099063,1.0,s4_narrow_passage_medium,M7,28,0.6
False,18.0,0.9390512126455228,0.2991024184986979,True,91.8792085897665,712.0091039698108,0.03204327923429047,72.08933059468194,0.06906574031327814,0.6256459460975741,0.0065409734942075935,0.0065409734942075935,123.80091877742251,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1743540539024258,False,False,23.700000000000003,23.700000000000003,23.700000000000003,20.650000000000002,40.0,22.05,0,72.30892158130436,2.1775164541348637,1.0,s4_narrow_passage_medium,M7,29,0.6
