success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,dwell_success,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,eta_min,sigma_omega,k_t,r0,lambda_curl,scene,method,seed
False,31.35,0.7278446036099997,0.216668008674553,True,96.79157490614257,3186.8859110747658,0.03663613655287261,72.61140775212091,0.012851060809016773,0.2756642462150611,0.0021343065455533185,0.0021343065455533185,155.93035950665438,0,0.0,True,True,True,False,True,False,True,2.5243357537849387,False,False,31.0,0.05,5.0,0.6,1.5,0.5,s4_narrow_passage,M7,0
False,31.150000000000002,0.7234231095129873,0.19913766094983643,True,107.04420283010364,3931.2325700118295,0.043713572023313906,72.67740277636722,0.01285459670981725,0.2756564517085742,0.0021164991014219546,0.0021164991014219546,166.02691202126874,0,0.0,True,True,True,False,True,False,True,2.5243435482914256,False,False,30.8,0.05,5.0,0.6,1.5,0.7,s4_narrow_passage,M7,0
False,33.45,0.7287064344965815,0.21974136443026238,True,87.50120353688504,2535.2199701345203,0.030807660283097418,72.6616469470884,0.012946379693661808,0.27657304872660626,0.0021115547474315544,0.0021115547474315544,145.49924733799554,0,0.0,True,True,True,False,True,False,True,2.5234269512733936,False,False,32.550000000000004,0.05,5.0,0.6,1.8,0.3,s4_narrow_passage,M7,0
False,32.7,0.727134501481536,0.2018508113773429,True,97.06801826504184,3210.7640437384835,0.036774909797391064,72.53942652320667,0.012941621644607522,0.2765835058952805,0.0021355285877822654,0.0021355285877822654,157.26149789504842,0,0.0,True,True,True,False,True,False,True,2.5234164941047195,False,False,31.75,0.05,5.0,0.6,1.8,0.5,s4_narrow_passage,M7,0
False,32.550000000000004,0.7233179118553654,0.2085692590314036,True,107.78732958227445,3988.4491389900572,0.04399111851235082,72.58335439069256,0.01294297447716032,0.2765806109105226,0.002128218239117581,0.002128218239117581,167.20810325284987,0,0.0,True,True,True,False,True,False,True,2.523419389089477,False,False,31.55,0.05,5.0,0.6,1.8,0.7,s4_narrow_passage,M7,0
False,29.3,0.7284494014516858,0.22000494077579727,True,89.91826250012315,2660.597333658816,0.030391340549542047,72.50004515298592,0.013358689282252608,0.28119400688169555,0.0023048211341930077,0.0023048211341930077,147.89886942133882,0,0.0,True,True,True,False,True,False,True,2.5188059931183044,False,False,29.75,0.05,5.0,0.9,1.2,0.3,s4_narrow_passage,M7,0
False,28.75,0.7277239553260626,0.2220185605446177,True,97.21665658778912,3177.8024576457074,0.03788509575353872,72.67142621530559,0.013445045784814424,0.2809672296483978,0.0018073161831635126,0.0018073161831635126,156.2536682310542,0,0.0,True,True,True,False,True,False,True,2.5190327703516022,False,False,29.5,0.05,5.0,0.9,1.2,0.5,s4_narrow_passage,M7,0
False,28.650000000000002,0.722683929987926,0.21964850066038427,True,106.64952653763176,3864.7672274680817,0.04482375797946156,72.56269557594909,0.01336614744963908,0.28116443723871903,0.002258640608086164,0.002258640608086164,165.41964727202898,0,0.0,True,True,True,False,True,False,True,2.518835562761281,False,False,29.3,0.05,5.0,0.9,1.2,0.7,s4_narrow_passage,M7,0
False,30.400000000000002,0.728474975522311,0.2354097892971098,True,88.37061600145063,2582.2201867181448,0.029142381348875937,72.51418820684457,0.013517730449268135,0.2839003588208387,0.0028588817275893626,0.0028588817275893626,145.6242880901998,0,0.0,True,True,True,False,True,False,True,2.516099641179161,False,False,30.400000000000002,0.05,5.0,0.9,1.5,0.3,s4_narrow_passage,M7,0
False,29.900000000000002,0.7278035479063079,0.22719927178465793,True,96.21830867856565,3130.1766376027936,0.036219816819317234,72.6700568247065,0.013802875131832149,0.28317491605984174,0.0012426194479312055,0.0012426194479312055,154.82354256211212,0,0.0,True,True,True,False,True,False,True,2.5168250839401582,False,False,29.75,0.05,5.0,0.9,1.5,0.5,s4_narrow_passage,M7,0
False,29.700000000000003,0.7231888909040094,0.2328476761592157,True,105.8136614468265,3825.6694182122055,0.04274215931168471,72.53970312286151,0.01351862091258626,0.2838976624991145,0.0028540473396643324,0.0028540473396643324,163.83644351570393,0,0.0,True,True,True,False,True,False,True,2.516102337500885,False,False,29.5,0.05,5.0,0.9,1.5,0.7,s4_narrow_passage,M7,0
False,31.900000000000002,0.7286579724520401,0.22394619749512681,True,86.77881716257718,2482.239134250834,0.030113794060505135,72.67131916257132,0.013830026371901276,0.2851717352471814,0.0020674991451851985,0.0020674991451851985,143.45053678899586,0,0.0,True,True,True,False,True,False,True,2.5148282647528184,False,False,31.1,0.05,5.0,0.9,1.8,0.3,s4_narrow_passage,M7,0
False,31.150000000000002,0.7274905377323206,0.22959110298146845,True,95.89629438191993,3133.7828896184064,0.03663613655287261,72.70587832032157,0.013848455132548163,0.28518159737998167,0.001994250088786329,0.001994250088786329,154.50818370864005,0,0.0,True,True,True,False,True,False,True,2.514818402620018,False,False,30.650000000000002,0.05,5.0,0.9,1.8,0.5,s4_narrow_passage,M7,0
False,31.05,0.7242229429380542,0.2300983816790178,True,106.61699918714403,3920.619525117624,0.043713572023313906,72.66894936693284,0.013834559200254637,0.28516107875092384,0.0020379541778799237,0.0020379541778799237,164.6529783323656,0,0.0,True,True,True,False,True,False,True,2.514838921249076,False,False,30.3,0.05,5.0,0.9,1.8,0.7,s4_narrow_passage,M7,0
