source_run,source_file,scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean,obs_collision_rate,agent_collision_rate,dwell_geom_success_rate,dwell_success_no_collision_rate,time_to_inside_mean,time_to_gmax_mean,time_to_radius_mean,time_to_full_geom_mean,success_hold_time_mean,post_success_violation_count_mean,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate_mean
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_medium,M1,0.0,19.48333333333333,0.0763762615825964,1.0,0.5742801695378706,0.0,360.0,6.847750913376838e-34,179.83782985320195,13.82419797539405,0.2732992819601747,22.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.4685507948562933,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_medium,M3,0.0,26.016666666666666,0.0288675134594819,1.0,0.8300235619708417,2.651297972098775e-13,226.1368918192708,3.48712457463206e-05,256.5605267796448,6357.858599250685,0.0174698349248649,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.0,2.783117428786236,0.0,0.0,53.31666666666666,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_medium,M4,0.0,18.55,0.0500000000000016,1.0,-0.7254703406142072,0.3872989384642301,206.7739727117317,0.1866841500868966,147.1510205116035,19.359427600836657,0.2322525723591679,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.294488465355893,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_medium,M5,0.0,18.58333333333333,0.0288675134594822,1.0,-0.6360283378926522,0.2914049359858331,215.80688712278788,0.1858726101552755,147.00841528198973,7.382510094726098,0.2349174624324524,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.2255772942980727,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_medium,M6,0.0,18.55,0.0500000000000016,1.0,-0.7239170236962219,0.3868566986991971,209.9972604042997,0.1313712739059339,147.3507599740555,23.23152303913891,0.2320675105485232,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.2452162214104672,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s5_dense_tracking_medium,M7,0.0,18.566666666666663,0.0288675134594832,1.0,-0.6354567140764168,0.291283710509587,219.26480504542903,0.129059196689411,146.74095377377532,7.819828417597619,0.2342882522762602,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.203071229731175,0.0,0.0,75.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s6_fast_target,M1,0.0,23.05,0.0500000000000016,1.0,inf,2.007851727246677e-07,359.9999999999832,2.4689378555466008e-12,289.89517038725467,0.0035000778054202,0.4640114719215468,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.7642343023478588,0.0,0.0,60.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s6_fast_target,M3,0.0,60.0,0.0,1.0,inf,0.0123858616121813,359.8690140708904,0.0468547525269811,208.98324429849995,0.0011874931881354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.971198408134719,0.0,0.0,60.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s6_fast_target,M4,0.0,27.416666666666668,0.175594229214212,1.0,inf,0.5236157829449509,305.0378966242557,0.3230118925880649,274.80182994583924,0.0242448357654476,0.3534554537885095,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1963416844935022,0.0,0.0,60.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s6_fast_target,M5,0.0,27.416666666666668,0.175594229214212,1.0,inf,0.5236157829449509,305.0378966242557,0.3230118925880649,274.80182994583924,0.0242448357654476,0.3534554537885095,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1963416844935022,0.0,0.0,60.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s6_fast_target,M6,0.0,27.36666666666667,0.175594229214213,1.0,inf,0.5226468238461729,305.05011910430056,0.3055189529637458,274.77827318094023,0.023026375208417,0.3535017115366823,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.196290163913968,0.0,0.0,60.0,,,,,,,,,,,,,
outputs/debug_after_metric_fix,outputs/debug_after_metric_fix/summary_metrics.csv,s6_fast_target,M7,0.0,27.36666666666667,0.175594229214213,1.0,inf,0.5226468238461729,305.05011910430056,0.3055189529637458,274.77827318094023,0.023026375208417,0.3535017115366823,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.196290163913968,0.0,0.0,60.0,,,,,,,,,,,,,
outputs/group_A_smoke,outputs/group_A_smoke/summary_metrics.csv,a1_single_goal_reach,M1,1.0,11.45,,0.0,inf,inf,0.0,0.0,11.309352019088864,0.0127114153187056,0.5087281795511222,116.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0001326257711361,0.0,1.0,0.0,0.0,0.0,1.0,1.0,20.0,0.0,11.75,20.0,8.6,0.0,0.0,0.2712744230974352,0.0
