success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,speed_scale,variant
False,14.65,-0.4790848365796038,0.4298201064682539,True,91.68152094910684,0.30856332833990985,0.19875091844232182,261.57065843298216,0.26184020969729466,2.010312162834874,1.743580959433114,1.7885616601510912,121.65246976916029,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9896878371651261,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.400000000000006,0,261.81506715861406,0.9860475165444558,0.0,e1_tracking_single_obstacle,M7,14,0.7,c_like
False,14.65,-0.2573990176047126,0.4228546545502469,True,92.03027363459904,0.15405160602341925,0.19948567229977957,261.15759612860853,0.2607753049388126,2.004777133808899,1.7363635237793262,1.7780219828394106,121.64078336800041,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9952228661911011,False,False,68.0,68.0,68.0,13.75,68.0,53.400000000000006,0,261.4419354290525,0.9918396942216786,0.0,e1_tracking_single_obstacle,M7,15,0.7,c_like
False,14.600000000000001,-0.2792837212269461,0.42237371905121984,True,91.63798350699128,0.15832992078228628,0.19838354151359294,261.6610711773776,0.2620829900385056,2.0116160058571437,1.7452731703007085,1.7910387863371695,121.79427184009155,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9883839941428563,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.45,0,261.89617204373576,0.9846784841469471,0.0,e1_tracking_single_obstacle,M7,16,0.7,c_like
False,14.700000000000001,-0.3310545212835957,0.419671218775661,True,92.31153208414096,0.17401924564007482,0.19875091844232182,261.2035337824166,0.2608911620945941,2.0053686751588677,1.737137016733874,1.7791503387114447,121.70181242941702,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9946313248411323,False,False,68.0,68.0,68.0,13.8,68.0,53.35,0,261.4831010738119,0.9912238509078912,0.0,e1_tracking_single_obstacle,M7,17,0.7,c_like
False,14.65,-0.24240957781703742,0.4239873693109911,True,91.58447747926546,0.17052337940061063,0.19813862356110704,264.7361378787771,0.2654261611945839,1.981142912411256,1.706820098962556,1.7491207800098154,121.3202075800081,0,1.0,False,False,False,False,True,False,True,True,True,True,False,1.018857087588744,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.400000000000006,0,265.32684937935267,1.01494055149285,0.0,e1_tracking_single_obstacle,M7,18,0.7,c_like
False,14.600000000000001,-0.2470788175777272,0.422055609679262,True,92.03311344899487,0.21558465190437917,0.19666911584619154,261.6073019244697,0.26195519806836903,2.0109822215285513,1.7444420087489574,1.7898357936230358,121.78877866195096,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9890177784714487,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.45,0,261.8375202135202,0.9853604332319299,0.0,e1_tracking_single_obstacle,M7,19,0.7,c_like
False,14.600000000000001,-0.22982621485450028,0.42392009065973274,True,92.2277492690398,0.16704931754040067,0.19777124663237816,261.1623348959908,0.26078565779175517,2.004822167849591,1.7364236589397817,1.7781074925789375,121.79773904732097,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.995177832150409,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.45,0,261.4476789555476,0.9917899459966967,0.0,e1_tracking_single_obstacle,M7,20,0.7,c_like
False,14.700000000000001,-0.20733499185610882,0.4231520408934566,True,91.86469714087679,0.14934200764246688,0.19948567229977957,261.55612458268905,0.26180478009210545,2.010134284161721,1.7433480650968556,1.788223776141678,121.72440891890076,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9898657158382789,False,False,68.0,68.0,68.0,13.75,68.0,53.35,0,261.7999086261839,0.9862375558569565,0.0,e1_tracking_single_obstacle,M7,21,0.7,c_like
False,14.700000000000001,-0.286343201880488,0.43253573691294356,True,91.58653311164247,0.145286887352506,0.1997305902522655,261.53888823864116,0.26175809970547415,2.0098824447247927,1.7430213394214693,1.787744901529594,121.55790654262196,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9901175552752073,False,False,68.0,68.0,68.0,13.75,68.0,53.35,0,261.7850902797846,0.986500472710729,0.0,e1_tracking_single_obstacle,M7,22,0.7,c_like
False,14.65,-0.32539639143138954,0.4253134615336116,True,91.62937777189705,0.17656745950954966,0.19728141072740632,261.61536967032487,0.26198881057598156,2.011198777308095,1.7447170358302406,1.7902475352084832,121.44570776070708,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.988801222691905,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.400000000000006,0,261.837836538963,0.985143533784369,0.0,e1_tracking_single_obstacle,M7,23,0.7,c_like
False,14.600000000000001,-0.25642500593670936,0.42516465458895875,True,91.87387325522913,0.16744306820868518,0.19752632867989223,261.4520096719332,0.26153991888841355,2.0087679078626777,1.7415653099346622,1.785626260306444,121.49938483203735,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9912320921373223,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.45,0,261.6994790799323,0.9876818575186205,0.0,e1_tracking_single_obstacle,M7,24,0.7,c_like
False,14.600000000000001,-0.2591658784241061,0.42452638288338007,True,91.87969740043883,0.16549403309395735,0.19715895175116335,261.32558307533054,0.2612117922106109,2.007058219977459,1.7393369923206603,1.7823720067505624,121.44457934861012,0,1.0,False,False,False,False,True,False,True,True,True,True,False,0.9929417800225409,False,False,68.0,68.0,68.0,13.700000000000001,68.0,53.45,0,261.5851540455538,0.989473625911645,0.0,e1_tracking_single_obstacle,M7,25,0.7,c_like
