success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,scene,method,seed
False,18.7,0.2263308498575991,0.5318108078072232,True,91.3467896856514,1967.030449683944,0.06230918678878712,74.08660475194804,0.1809420700919627,0.9627336360308808,0.04884155887784763,0.04884155887784763,124.93040306211357,0,0.0,s4_narrow_passage,M4,0
True,18.45,0.37652761958218295,0.5060000070647003,False,91.9164025507774,2002.6686467027862,0.06147654732167638,73.67553440538698,0.1805039834929988,0.9635629071631252,0.04774126864311852,0.04774126864311852,125.30012438143606,0,0.0,s4_narrow_passage,M4,1
True,18.400000000000002,0.3992312267742031,0.5080280629964768,False,92.02175060203349,2002.2883657670209,0.061337774077157924,73.9212148853124,0.18110170241402548,0.9628126266869576,0.048973279408508236,0.048973279408508236,125.53564495338232,0,0.0,s4_narrow_passage,M4,2
False,28.1,0.7277332179276186,0.3279785756704101,True,92.94124477969092,2656.1897253286347,0.04746044962531224,85.68704870631962,0.22375817330314876,0.9406612900185692,0.23111977878224949,0.23111977878224949,136.2812202528169,0,0.0,s4_narrow_passage,M5,0
False,28.0,0.7359490363293959,0.3189549188172069,True,93.9303777913322,2701.8160501507336,0.04607271718012767,85.72966316374206,0.21640868681571482,0.9450835033787076,0.2147101322666661,0.2147101322666661,137.91818567081464,0,0.0,s4_narrow_passage,M5,1
False,27.85,0.7252945528421308,0.3212727801694452,True,94.02897999987002,2684.3530794389244,0.04537885095753539,86.29901041119044,0.21948370157734595,0.9440639278390273,0.221362868558584,0.221362868558584,138.08895994315606,0,0.0,s4_narrow_passage,M5,2
False,18.7,0.23630238878661936,0.344571480138568,True,96.44023288413455,2334.3670224438115,0.06258673327782403,74.07207862759014,0.026693997743136993,0.3565875215986732,0.016177123549571223,0.016177123549571223,132.1647871961217,0,0.0,s4_narrow_passage,M6,0
False,18.45,0.37658001193422463,0.35452168242394494,True,96.60925184218121,2335.420821976066,0.06147654732167638,73.97809216783115,0.023977283061730453,0.36067518079622096,0.01687160429900503,0.01687160429900503,132.17183637549186,0,0.0,s4_narrow_passage,M6,1
False,18.400000000000002,0.3998039177262591,0.3543388618617402,True,96.73559569268608,2335.355848384268,0.06106022758812101,73.99893691835325,0.0255867675828037,0.3580323032221438,0.01689647100352815,0.01689647100352815,132.23248098106777,0,0.0,s4_narrow_passage,M6,2
False,28.200000000000003,0.7277505254094339,0.280989671388297,True,95.93779676452289,2964.7707026468875,0.04718290313627533,73.90938197992989,0.021575593771234223,0.3577020367272134,0.014462006766930591,0.014462006766930591,141.23727797587497,0,0.0,s4_narrow_passage,M7,0
False,28.05,0.7360712321882248,0.3132462854162048,True,97.24374563977258,3071.0905289093134,0.04621149042464613,74.00726208016788,0.02364505415049883,0.35999452895681355,0.015286978020422108,0.015286978020422108,142.4315923349502,0,0.0,s4_narrow_passage,M7,1
False,27.900000000000002,0.7254525209663198,0.3202529809018827,True,76.7360969150326,1441.4082511411807,0.04510130446849847,60.00000014125216,0.015055253127050338,0.3361083030486238,6.235093879527405e-10,6.235093879527405e-10,110.99825924568839,582,0.0,s4_narrow_passage,M7,2
False,75.0,0.474932528880772,0.0,True,208.93202575961655,1828.0622686671184,0.3687541638907395,360.00000000000006,3.0814879110195774e-33,0.4772864971690272,0.47728649716902677,0.47728649716902677,255.17876100994366,182,1.0,s5_dense_tracking,M1,0
False,75.0,0.45449726302708804,0.0,True,205.17635930258112,1391.3243168908973,0.3614257161892072,360.0,3.0814879110195774e-33,0.4752904898991584,0.4752904898991589,0.4752904898991589,251.84693492797498,183,1.0,s5_dense_tracking,M1,1
False,75.0,0.43714498044649774,0.0,True,206.53694659750542,1521.1434633574215,0.3637574950033311,360.0,0.0,0.476569807726903,0.4765698077269035,0.4765698077269035,253.2501321511664,183,1.0,s5_dense_tracking,M1,2
False,75.0,0.6277995274081398,0.0,True,192.0758207533411,9874.352269170033,0.015989340439706862,359.9999999999828,6.346362947764608e-23,10.888374683330563,10.888374683330563,10.888374683330563,291.87196812199716,0,1.0,s5_dense_tracking,M3,0
