step,time,agent,omega,rho,psi_tilde,phi
28,1.4000000000000001,4,0.0,1.0,0.9988171960238775,0.0
28,1.4000000000000001,5,0.0,1.0,0.9988171960238775,0.0
29,1.4500000000000002,0,0.0,1.0,0.99882621072436,0.0
29,1.4500000000000002,1,0.0,1.0,0.99882621072436,0.0
29,1.4500000000000002,2,0.0,1.0,0.99882621072436,0.0
29,1.4500000000000002,3,0.0,1.0,0.99882621072436,0.0
29,1.4500000000000002,4,0.0,1.0,0.99882621072436,0.0
29,1.4500000000000002,5,0.0,1.0,0.99882621072436,0.0
30,1.5,0,0.0,1.0,0.9988350094996864,0.0
30,1.5,1,0.0,1.0,0.9988350094996864,0.0
30,1.5,2,0.0,1.0,0.9988350094996864,0.0
30,1.5,3,0.0,1.0,0.9988350094996864,0.0
30,1.5,4,0.0,1.0,0.9988350094996864,0.0
30,1.5,5,0.0,1.0,0.9988350094996864,0.0
31,1.55,0,0.0,1.0,0.9988435400512544,0.0
31,1.55,1,0.0,1.0,0.9988435400512544,0.0
31,1.55,2,0.0,1.0,0.9988435400512544,0.0
31,1.55,3,0.0,1.0,0.9988435400512544,0.0
31,1.55,4,0.0,1.0,0.9988435400512544,0.0
31,1.55,5,0.0,1.0,0.9988435400512544,0.0
32,1.6,0,0.0,1.0,0.9988517585616349,0.0
32,1.6,1,0.0,1.0,0.9988517585616349,0.0
32,1.6,2,0.0,1.0,0.9988517585616349,0.0
32,1.6,3,0.0,1.0,0.9988517585616349,0.0
32,1.6,4,0.0,1.0,0.9988517585616349,0.0
32,1.6,5,0.0,1.0,0.9988517585616349,0.0
33,1.6500000000000001,0,0.0,1.0,0.99885962962746,0.0
33,1.6500000000000001,1,0.0,1.0,0.99885962962746,0.0
33,1.6500000000000001,2,0.0,1.0,0.9988596296274598,0.0
33,1.6500000000000001,3,0.0,1.0,0.9988596296274598,0.0
33,1.6500000000000001,4,0.0,1.0,0.9988596296274598,0.0
33,1.6500000000000001,5,0.0,1.0,0.9988596296274599,0.0
34,1.7000000000000002,0,0.0,1.0,0.9988671258634603,0.0
34,1.7000000000000002,1,0.0,1.0,0.9988671258634603,0.0
34,1.7000000000000002,2,0.0,1.0,0.9988671258634603,0.0
34,1.7000000000000002,3,0.0,1.0,0.9988671258634603,0.0
34,1.7000000000000002,4,0.0,1.0,0.9988671258634603,0.0
34,1.7000000000000002,5,0.0,1.0,0.9988671258634603,0.0
35,1.75,0,0.0,1.0,0.9988742272881678,0.0
35,1.75,1,0.0,1.0,0.9988742272881678,0.0
35,1.75,2,0.0,1.0,0.9988742272881678,0.0
35,1.75,3,0.0,1.0,0.9988742272881678,0.0
35,1.75,4,0.0,1.0,0.9988742272881678,0.0
35,1.75,5,0.0,1.0,0.9988742272881678,0.0
36,1.8,0,0.0,1.0,0.9988809205817158,0.0
36,1.8,1,0.0,1.0,0.9988809205817158,0.0
36,1.8,2,0.0,1.0,0.9988809205817158,0.0
36,1.8,3,0.0,1.0,0.9988809205817158,0.0
36,1.8,4,0.0,1.0,0.9988809205817158,0.0
36,1.8,5,0.0,1.0,0.9988809205817158,0.0
37,1.85,0,0.0,1.0,0.9988871982854266,0.0
37,1.85,1,0.0,1.0,0.9988871982854266,0.0
37,1.85,2,0.0,1.0,0.9988871982854263,0.0
37,1.85,3,0.0,1.0,0.9988871982854263,0.0
37,1.85,4,0.0,1.0,0.9988871982854263,0.0
37,1.85,5,0.0,1.0,0.9988871982854266,0.0
38,1.9000000000000001,0,0.0,1.0,0.9988930579939183,0.0
38,1.9000000000000001,1,0.0,1.0,0.9988930579939183,0.0
38,1.9000000000000001,2,0.0,1.0,0.9988930579939183,0.0
38,1.9000000000000001,3,0.0,1.0,0.998893057993918,0.0
38,1.9000000000000001,4,0.0,1.0,0.998893057993918,0.0
38,1.9000000000000001,5,0.0,1.0,0.998893057993918,0.0
39,1.9500000000000002,0,0.0,1.0,0.998898501574541,0.0
