success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,eta_min,sigma_omega
False,20.3,0.9826066772611874,0.2663011512841486,True,96.610425499558,1412.0181922248057,0.014565126924677487,74.54724027113768,0.010268109111461804,0.26067641419103876,0.006567168312015182,0.006567168312015182,138.11727626266085,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539323585808961,False,False,27.05,26.3,27.05,22.8,40.0,19.75,0,74.89175274080492,2.5413037063985073,1.0,s4_narrow_passage_medium,M7,24,0.06,4.0
False,20.400000000000002,0.9762253114142718,0.26796573016365555,True,98.17453718299203,1513.8808273967777,0.01435705368289638,75.51746703492458,0.012053122985383817,0.25664538145250715,0.0042191646267440005,0.0042191646267440005,139.97885076559123,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433546185474927,False,False,26.200000000000003,26.1,26.200000000000003,22.900000000000002,40.0,19.650000000000002,0,74.92875112535881,2.5413173270639184,1.0,s4_narrow_passage_medium,M7,25,0.06,4.0
False,20.400000000000002,0.9710030429107552,0.2684251137672694,True,97.83137191028747,1497.2795193529241,0.01914273824386184,75.61434828941988,0.012053387179040295,0.256619723057759,0.004196253686556927,0.004196253686556927,139.57528425396504,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433802769422407,False,False,26.400000000000002,26.3,26.400000000000002,22.85,40.0,19.650000000000002,0,74.93469977549486,2.541316691943204,1.0,s4_narrow_passage_medium,M7,26,0.06,4.0
False,19.75,1.0218402645250404,0.2686979531115713,True,97.62498251226067,1457.8880456194292,0.005201831044527674,74.70704705728318,0.012056897467189293,0.25663790616461524,0.004188230136256388,0.004188230136256388,138.90333515237236,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433620938353845,False,False,25.6,25.5,25.6,22.25,40.0,20.3,0,74.9091395701599,2.541318034832804,1.0,s4_narrow_passage_medium,M7,27,0.06,4.0
False,20.200000000000003,0.9929648155356252,0.2672640919487307,True,98.06813814835411,1489.7453261272333,0.011652101539741989,74.27649063550203,0.012055417859746015,0.2566483027979393,0.0042077341857943325,0.0042077341857943325,139.51418984946008,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433516972020604,False,False,26.5,25.900000000000002,26.5,22.700000000000003,40.0,19.85,0,74.92539075775952,2.541327473056203,1.0,s4_narrow_passage_medium,M7,28,0.06,4.0
False,20.5,0.9771349010855486,0.2647270251771184,True,97.64747552967344,1490.2011879185948,0.01768622555139409,74.3491195344045,0.012055119266639672,0.2566499947453471,0.004210986639537818,0.004210986639537818,139.35611137955289,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543350005254653,False,False,26.6,26.1,26.6,22.950000000000003,40.0,19.55,0,74.89669303404393,2.541281013162429,1.0,s4_narrow_passage_medium,M7,29,0.06,4.0
False,20.05,0.9946496630206656,0.2706265632077443,True,97.70325097512949,1468.9764338599684,0.0089471493965876,75.26218932316846,0.012057421417295705,0.25662111669711507,0.004167380056824057,0.004167380056824057,139.240215325017,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433788833028848,False,False,26.05,25.950000000000003,26.05,22.6,40.0,20.0,0,74.8905680401809,2.5412945243535474,1.0,s4_narrow_passage_medium,M7,30,0.06,4.0
False,19.900000000000002,0.9978068471649395,0.26652781799703823,True,97.36830795295549,1446.5444701092215,0.009363295880149813,73.74305942034256,0.010261801625250385,0.2606594966908992,0.006536998029823373,0.006536998029823373,138.62757699843365,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393405033091008,False,False,25.8,25.650000000000002,25.8,22.35,40.0,20.150000000000002,0,74.90692167494309,2.5413280087405576,1.0,s4_narrow_passage_medium,M7,31,0.06,4.0
False,20.150000000000002,0.996186878648605,0.2635034658767944,True,96.65427372947451,1407.343478962152,0.013108614232209739,75.4063748908058,0.012052985346948389,0.2566538063813721,0.0042279822122665055,0.0042279822122665055,138.07253257959601,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543346193618628,False,False,26.950000000000003,26.200000000000003,26.950000000000003,22.700000000000003,40.0,19.900000000000002,0,74.91409631728351,2.5413282635959846,1.0,s4_narrow_passage_medium,M7,32,0.06,4.0
False,20.400000000000002,0.9708017951827055,0.26875719485465743,True,97.63592056747935,1493.0862960022591,0.01373283395755306,75.4092497837879,0.012056630735487317,0.2566189124499924,0.0041705861411515666,0.0041705861411515666,139.40044460759034,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433810875500074,False,False,26.35,26.35,26.35,22.900000000000002,40.0,19.650000000000002,0,74.91962793914553,2.541307338158537,1.0,s4_narrow_passage_medium,M7,33,0.06,4.0
