eta_min,sigma_omega,k_t,r0,lambda_curl,success_rate,collision_rate,completion_time_mean,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,input_sat_mean,control_smoothness_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,success_geom_final_rate,gmax_reach_time_mean
0.05,8.0,1.2,1.2,0.7,0.0,1.0,28.0,0.7241948841678323,0.25226162996450385,73.37914682744272,0.013209281898092574,0.04718290313627533,3688.313741024965,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.0
0.05,8.0,1.2,1.5,0.3,0.0,1.0,29.700000000000003,0.7283563369413513,0.24045108167252205,73.00346367434508,0.01386472492034795,0.0324729392173189,2408.0944446464073,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.950000000000003
0.05,8.0,1.2,1.5,0.5,0.0,1.0,29.1,0.7272093620759075,0.2332974205392961,74.16936068875454,0.016054734495974814,0.03996669442131557,2988.1457477151826,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.200000000000003
0.05,8.0,1.2,1.5,0.7,0.0,1.0,29.05,0.7229540440364082,0.26144448911591506,74.21561169299156,0.013835563593363763,0.04648903691368304,3711.0731250719896,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.200000000000003
0.05,8.0,1.2,1.8,0.3,0.0,1.0,30.900000000000002,0.7286003948455215,0.2427721333491254,73.76230269546201,0.01643853532563931,0.03413821815154038,2372.2510647098707,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.55
0.05,8.0,1.2,1.8,0.5,0.0,1.0,30.5,0.7275081586822008,0.26681839779911465,74.26988378759013,0.016443794761901213,0.04079933388842631,3025.2588321583257,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.200000000000003
0.05,8.0,1.2,1.8,0.7,0.0,1.0,30.450000000000003,0.72361047618556,0.3012053114267149,73.73158875495011,0.016437542823015877,0.04773799611434915,3824.1325241263316,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.950000000000003
0.1,3.0,0.6,1.2,0.3,0.0,1.0,26.900000000000002,0.7284435611422866,0.20425036158599286,72.61610969232082,0.0127023177624487,0.026089369969469887,2699.1399148188443,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.6
0.1,3.0,0.6,1.2,0.5,0.0,1.0,26.450000000000003,0.7273157335274012,0.19778883026614816,72.6710708185351,0.012705132016217547,0.0324729392173189,3144.2662778699773,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.150000000000002
0.1,3.0,0.6,1.2,0.7,0.0,1.0,26.400000000000002,0.721784973007267,0.20233807475675195,72.66047658223114,0.012704473789078583,0.04135442686650014,3720.5659460515412,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.200000000000003
0.1,3.0,0.6,1.5,0.3,0.0,1.0,27.950000000000003,0.7286706778898264,0.256610873862441,72.68194988773712,0.012854829493205646,0.02678323619206217,2601.582293201046,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.25
0.1,3.0,0.6,1.5,0.5,0.0,1.0,27.6,0.7274145967531582,0.21566367475331155,72.54327013827402,0.012849082287240838,0.033721898417985015,3177.5055501389625,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.8
0.1,3.0,0.6,1.5,0.7,0.0,1.0,27.450000000000003,0.7228203506921964,0.2618536091378654,72.67864461051988,0.01285457823954843,0.04177074660005551,3814.5546659146185,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.6
0.1,3.0,0.6,1.8,0.3,0.0,1.0,29.25,0.7287344158196125,0.22317842441696595,72.48909450368843,0.012941198805516746,0.02817096863724674,2606.189267484042,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.1
0.1,3.0,0.6,1.8,0.5,0.0,1.0,28.85,0.7275204888788831,0.22292174426007888,72.48332570325846,0.01294116708151652,0.035525950596724955,3158.345203485073,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.700000000000003
0.1,3.0,0.6,1.8,0.7,0.0,1.0,28.650000000000002,0.7238254863573046,0.21508646300928072,72.50268511411574,0.012941295206010832,0.042464612822647796,3835.2514913540276,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.35
0.1,3.0,0.9,1.2,0.3,0.0,1.0,25.55,0.728191821547113,0.22614338007892626,72.65410058623921,0.013431940832681016,0.026089369969469887,2777.9171553131596,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,26.700000000000003
0.1,3.0,0.9,1.2,0.5,0.0,1.0,25.200000000000003,0.7275322342656045,0.2170937661163455,72.62025420931961,0.01339803792460719,0.03233416597280044,3184.735178942676,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,26.35
