success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,k_s,k_t,r0,config
False,17.650000000000002,0.8869233633611111,0.2987323656125281,True,91.68283025211925,653.2141094724453,0.02871410736579276,72.03994287821116,0.07282555160929029,0.6413622712802619,0.006288454209231779,0.006288454209231779,123.04794669457377,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.158637728719738,False,False,24.150000000000002,23.75,24.150000000000002,20.3,40.0,22.400000000000002,0,72.36255235154562,2.1617812303964645,1.0,s4_narrow_passage_medium,M7,34,3.4,1.2,1.6,baseline_fixed_floor
False,17.7,0.9130522166813433,0.2984983663924993,True,91.8294049069212,745.3141131273482,0.030378693300041615,72.12993542992676,0.07285360403246852,0.6413349363323247,0.006367828061356779,0.006367828061356779,123.42484022626383,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.158665063667675,False,False,24.25,23.85,24.25,20.400000000000002,40.0,22.35,0,72.4097609485238,2.1617668043147606,1.0,s4_narrow_passage_medium,M7,35,3.4,1.2,1.6,baseline_fixed_floor
False,17.8,0.9288042399496412,0.29770522579142283,True,91.80103156335028,751.9335222713452,0.029546400332917187,72.02152182501435,0.07282617202186455,0.6413621103458041,0.006214228843665558,0.006214228843665558,123.53607802465028,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.158637889654196,False,False,23.8,23.75,23.8,20.450000000000003,40.0,22.25,0,72.32184402831973,2.1617640180343862,1.0,s4_narrow_passage_medium,M7,36,3.4,1.2,1.6,baseline_fixed_floor
True,17.8,0.9980360805882726,0.3556340090212245,False,92.24241175850804,689.9759493336751,0.027049521431543905,72.12271059112398,0.07284081311488916,0.641345819187608,0.006495880103543613,0.006495880103543613,124.06353149743053,0,0.0,True,True,True,False,True,True,False,False,True,True,True,2.158654180812392,False,True,23.400000000000002,23.400000000000002,23.400000000000002,20.450000000000003,40.0,22.25,0,72.35843136189376,2.1617911267836845,1.0,s4_narrow_passage_medium,M7,37,3.4,1.2,1.6,baseline_fixed_floor
False,17.8,0.9619186640625228,0.2991408695655366,True,91.8019047169725,799.8167019673873,0.03620474406991261,72.06008664357921,0.08063736987193847,0.6350401881502491,5.7134750130933584e-05,5.7134750130933584e-05,123.62506054423575,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1649598118497506,False,False,24.200000000000003,23.6,24.200000000000003,20.5,40.0,22.25,0,72.38985870232807,2.1617760274116886,1.0,s4_narrow_passage_medium,M7,38,3.4,1.2,1.6,baseline_fixed_floor
False,17.85,0.8686345545598912,0.2990102835974236,True,92.58065761699265,783.8142918430337,0.03911776945484811,72.07664806860708,0.07282471204347322,0.6413604502858066,0.006406744551100148,0.006406744551100148,124.22003335011502,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1586395497141933,False,False,23.75,23.75,23.75,20.55,40.0,22.200000000000003,0,72.38988491801541,2.1617678101432234,1.0,s4_narrow_passage_medium,M7,39,3.4,1.2,1.6,baseline_fixed_floor
False,17.8,0.9350619501613127,0.31417073144396707,True,92.22576307399329,702.1963571034884,0.028297960882230546,71.98968964749663,0.05125968471787198,0.5064045552508055,6.0362037865097846e-05,6.0362037865097846e-05,124.06832098734262,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.293595444749194,False,False,24.0,23.75,24.0,20.6,40.0,22.25,0,72.26499368525695,2.290496604421756,1.0,s4_narrow_passage_medium,M7,10,2.8,1.0,1.4,sweep
False,17.75,0.8956244426151436,0.3073440607009099,True,92.04580339808176,755.2895239903908,0.02871410736579276,72.09324851609534,0.051210501648170724,0.5064528543724431,6.436179304712522e-07,6.436179304712522e-07,123.83022210657172,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.2935471456275565,False,False,24.0,23.75,24.0,20.6,40.0,22.3,0,72.258539152604,2.290496773035749,1.0,s4_narrow_passage_medium,M7,11,2.8,1.0,1.4,sweep
False,17.85,0.9606244505793831,0.28243441401875413,True,92.11617880776846,751.9580581160342,0.035164377861007075,72.05966925803011,0.05127090635135479,0.5063938048645746,4.3789416101282984e-05,4.3789416101282984e-05,123.98116503146372,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.293606195135425,False,False,24.400000000000002,24.0,24.400000000000002,20.650000000000002,40.0,22.200000000000003,0,72.2887483357566,2.2904983921679745,1.0,s4_narrow_passage_medium,M7,12,2.8,1.0,1.4,sweep
False,17.6,0.9647693664594248,0.28106812973714124,True,91.90158538265914,727.5686589870243,0.029754473574698292,72.09640795703567,0.051211665672957894,0.5064515344349484,0.00015062994252891182,0.00015062994252891182,123.47589510635817,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.2935484655650513,False,False,23.900000000000002,23.900000000000002,23.900000000000002,20.400000000000002,40.0,22.450000000000003,0,72.28547118810559,2.2904818348990523,1.0,s4_narrow_passage_medium,M7,13,2.8,1.0,1.4,sweep
