scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean
s5_dense_tracking_medium,M4,0.0,18.55,0.0500000000000016,1.0,-0.7254703406142072,0.3872989384642301,206.77397271173166,0.18668415008689668,147.1510205116035,19.359427600836657,0.23225257235916796,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.294488465355893,0.0,0.0,75.0
s5_dense_tracking_medium,M5,0.0,18.583333333333332,0.02886751345948221,1.0,-0.6360283378926522,0.2914049359858331,215.80688712278788,0.18587261015527556,147.00841528198973,7.382510094726098,0.23491746243245246,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.2255772942980727,0.0,0.0,75.0
s5_dense_tracking_medium,M6,0.0,18.55,0.0500000000000016,1.0,-0.7239170236962219,0.3868566986991971,209.9972604042997,0.13137127390593395,147.35075997405553,23.23152303913891,0.23206751054852323,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.2452162214104672,0.0,0.0,75.0
s5_dense_tracking_medium,M7,0.0,18.566666666666666,0.028867513459483237,1.0,-0.6354567140764168,0.291283710509587,219.26480504542903,0.12905919668941104,146.74095377377532,7.819828417597619,0.23428825227626027,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.203071229731175,0.0,0.0,75.0
s6_fast_target,M1,0.0,23.05,0.0500000000000016,1.0,inf,2.0078517272466768e-07,359.9999999999832,2.468937855546601e-12,289.89517038725467,0.0035000778054202247,0.46401147192154685,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.7642343023478588,0.0,0.0,60.0
s6_fast_target,M3,0.0,60.0,0.0,1.0,inf,0.012385861612181366,359.8690140708904,0.04685475252698116,208.98324429849993,0.0011874931881354761,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.971198408134719,0.0,0.0,60.0
s6_fast_target,M4,0.0,27.416666666666668,0.17559422921421203,1.0,inf,0.5236157829449509,305.0378966242557,0.32301189258806495,274.80182994583924,0.02424483576544766,0.35345545378850957,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1963416844935022,0.0,0.0,60.0
s6_fast_target,M5,0.0,27.416666666666668,0.17559422921421203,1.0,inf,0.5236157829449509,305.0378966242557,0.32301189258806495,274.80182994583924,0.02424483576544766,0.35345545378850957,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1963416844935022,0.0,0.0,60.0
s6_fast_target,M6,0.0,27.36666666666667,0.17559422921421303,1.0,inf,0.5226468238461729,305.05011910430056,0.3055189529637458,274.77827318094023,0.023026375208417087,0.35350171153668236,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.19629016391396803,0.0,0.0,60.0
s6_fast_target,M7,0.0,27.36666666666667,0.17559422921421303,1.0,inf,0.5226468238461729,305.05011910430056,0.3055189529637458,274.77827318094023,0.023026375208417087,0.35350171153668236,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.19629016391396803,0.0,0.0,60.0
