method,t_pred,beta_lead,r_c,success_rate,collision_rate,completion_time_mean,current_center_error_mean,predicted_center_error_mean,input_sat_mean,gmax_mean,gmax_reach_time_mean
M6,1.3,0.5,3.6,0.0,1.0,60.0,3.057139810853995,4.066209228883799,0.31260986215191044,317.0938211570555,60.0
M6,0.0,0.5,3.2,0.0,1.0,60.0,3.166354716742383,3.166354716742383,0.3061337774077158,319.56684649302815,60.0
M6,0.0,0.35,3.2,0.0,1.0,60.0,3.1663547167423847,3.1663547167423847,0.3061337774077158,319.5668464930282,60.0
M6,1.0,0.5,3.6,0.0,1.0,60.0,3.1751242975174887,3.9513317647125867,0.30456101396984,318.78067180456634,60.0
M6,1.3,0.35,3.6,0.0,1.0,60.0,3.2063740482905705,4.215443359496734,0.3022018688130262,318.77497174560244,60.0
M6,1.0,0.35,3.6,0.0,1.0,60.0,3.2897937215154287,4.066001136798939,0.29655842353594225,319.9660749870349,60.0
M6,0.7,0.5,3.6,0.0,1.0,60.0,3.29322378457911,3.836569160302178,0.2964659080395966,320.3431280175045,60.0
M6,0.7,0.35,3.6,0.0,1.0,60.0,3.3733889659239504,3.9167343236064,0.2908224627625127,321.0941956055207,60.0
M6,0.0,0.35,3.6,0.0,1.0,60.0,3.5690938333407,3.5690938333407,0.27750023128874085,323.2470992867599,60.0
M6,0.0,0.5,3.6,0.0,1.0,60.0,3.5690938333407,3.5690938333407,0.27750023128874085,323.2470992867599,60.0
M7,1.3,0.5,2.8,0.0,1.0,60.0,2.2426814954283256,3.2517493934877653,0.3697844388935147,302.2681528448273,60.0
M7,1.0,0.5,2.8,0.0,1.0,60.0,2.3598248158106636,3.136031400628942,0.36155055971875294,303.0574192467555,60.0
M7,1.3,0.35,2.8,0.0,1.0,60.0,2.387371750428379,3.3964393098078696,0.359237672310112,303.10697234208334,60.0
M7,1.0,0.35,2.8,0.0,1.0,60.0,2.472816767875489,3.249023174988204,0.35350171153668236,305.05011910430056,60.0
M7,0.7,0.5,2.8,0.0,1.0,60.0,2.4798918423348826,3.0232367747472106,0.3533166805439911,305.9193976873567,60.0
M7,0.7,0.35,2.8,0.0,1.0,60.0,2.5588364595081874,3.102181309637546,0.34785826625959854,307.35811721333255,60.0
M7,1.3,0.5,3.2,0.0,1.0,60.0,2.6505926460922566,3.659660856759325,0.3410583772781941,310.70403340497603,60.0
M7,0.0,0.35,2.8,0.0,1.0,60.0,2.7613599611951223,2.7613599611951223,0.33435100379313537,312.4574568893054,60.0
M7,0.0,0.5,2.8,0.0,1.0,60.0,2.7613599611951254,2.7613599611951254,0.33435100379313537,312.45745688930543,60.0
M7,1.0,0.5,3.2,0.0,1.0,60.0,2.7692352153359763,3.5454420289534228,0.33305578684429643,313.0897511619412,60.0
