success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_final,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,eta_min,sigma_omega,k_t,r0,lambda_curl,scene,method,seed
False,26.25,0.7274920048946203,0.3137699563784471,True,85.1410753025073,1732.849763677155,0.03510963086316958,71.979585246932,0.04653496336281521,0.48238415179399746,5.95605806622703e-05,5.95605806622703e-05,125.93832558600265,0,0.0,True,2.3176158482060023,False,False,27.400000000000002,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M5,0
False,26.400000000000002,0.7372432669250244,0.3132535439290527,True,85.34736926067679,1791.965665556963,0.03469331112961421,72.1661018409376,0.04650514572093988,0.4824159134452753,0.00012664973190943502,0.00012664973190943502,126.1502832888608,0,0.0,True,2.3175840865547244,False,False,27.55,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M5,1
False,26.200000000000003,0.7377282298116123,0.30032342291689196,True,85.52701108149012,1852.3267030420677,0.03413821815154038,72.35756310739329,0.04642126955608047,0.48174616787138835,0.0034054230036549087,0.0034054230036549087,126.24482378475554,0,0.0,True,2.3182538321286117,False,False,27.400000000000002,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M5,2
False,26.1,0.7194880973916209,0.2948164374902443,True,85.68826288278316,1647.5265123277643,0.036219816819317234,72.32590184035121,0.040568799113360865,0.4880730236712041,0.006916943585937029,0.006916943585937029,126.14308161011681,0,0.0,True,2.3119269763287957,False,False,27.05,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M5,3
False,26.450000000000003,0.7222346939524165,0.302296327052523,True,84.98594755976693,1740.0392111046629,0.033166805439911184,72.05041374250995,0.046515623541157264,0.4824044489583312,0.0001180920182081133,0.0001180920182081133,125.77301177241252,0,0.0,True,2.3175955510416686,False,False,27.450000000000003,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M5,4
False,24.650000000000002,0.737615878614237,0.3101025115273353,True,84.82607787003568,1691.7394209014956,0.03205661948376353,72.04588964246533,0.046535772695607554,0.4823836831400549,0.00011791034922873697,0.00011791034922873697,124.28338874660645,0,0.0,True,2.317616316859945,False,False,25.75,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M5,5
False,26.400000000000002,0.735028650170477,0.31377288604617615,True,85.25607056374713,1769.375565540113,0.03386067166250347,72.00769917837026,0.04064222713320193,0.48872636446587997,0.006238915549891244,0.006238915549891244,126.0928594728993,0,0.0,True,2.31127363553412,False,False,27.3,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M5,6
False,26.5,0.724012659194387,0.30694547863148997,True,85.39465254768442,1764.5557230725333,0.03455453788509576,72.17152891847572,0.040658463782550204,0.48870753950362755,0.006386219648084206,0.006386219648084206,126.12029083540313,0,0.0,True,2.3112924604963725,False,False,27.75,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M5,7
False,25.1,0.7618644175061153,0.3084793096435118,True,85.62170777037528,1770.1315574349042,0.0315015265056897,71.97363778196792,0.04064281025344092,0.48872572267633846,0.006238571225173789,0.006238571225173789,125.47849802561021,0,0.0,True,2.3112742773236614,False,False,26.5,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M5,8
False,24.8,0.7446465709061509,0.32284198222782157,True,85.2093584755072,1679.4130277909067,0.03219539272828199,72.05157115671419,0.04652681410033699,0.4823925437088307,4.8213990914419665e-05,4.8213990914419665e-05,124.8070986573592,0,0.0,True,2.317607456291169,False,False,25.8,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M5,9
False,19.700000000000003,0.7058430732549874,0.2760073806573639,True,102.89356820415941,3245.1886249138665,0.033166805439911184,72.6200082568507,0.013397914513940143,0.2810497225044919,0.0020551925184021285,0.0020551925184021285,159.46426199940421,0,0.0,True,2.5189502774955077,False,False,21.75,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M6,0
False,19.8,0.7161551135739928,0.2800839396320838,True,103.02292160899965,3247.228126490999,0.033999444907021927,72.62001796386687,0.013397810225440251,0.28104997832887996,0.0020558353958185865,0.0020558353958185865,159.3815233544828,0,0.0,True,2.51895002167112,False,False,22.5,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M6,1
False,19.55,0.5678120358757177,0.2855380345217557,True,103.11106529432128,3230.796920511011,0.03510963086316958,72.61999121655074,0.013397822566140546,0.28104996343086225,0.0020557371863906713,0.0020557371863906713,159.31241060696638,0,0.0,True,2.5189500365691377,False,False,22.200000000000003,0.1,5.0,0.9,1.2,0.5,s4_narrow_passage,M6,2
